"iso_code","country","Y","X1","X2","X3","X4","X5","D","Cluster"
"ALB","Albania",64.54392476,17.44007529,37.18519794,5.58,6.9,17112.93794,"HighFreedom","1"
"DZA","Algeria",43.07684052,4.947280935,11.57333072,3.77,4.1,14782.2003,"LowFreedom","2"
"AGO","Angola",20.49948443,7.538525217,16.22510077,3.53,5,7397.486427,"LowFreedom","2"
"ARG","Argentina",23.29050795,12.99702132,75.31658395,5.41,5,27627.96348,"LowFreedom","1"
"ARM","Armenia",40.0726243,24.16533967,69.63820494,5.64,6.39,17886.17839,"HighFreedom","1"
"AUS","Australia",84.34907956,117.6510301,19.3178055,8.69,8.24,59883.64704,"HighFreedom","3"
"AUT","Austria",28.2333238,11.45300401,176.3271959,8.49,6.81,65661.45219,"HighFreedom","3"
"AZE","Azerbaijan",25.205134,39.18423731,6.539220829,4.41,5.51,21051.24424,"LowFreedom","1"
"BHS","Bahamas, The",62.18767787,24.14898063,119.1968916,6.19,7.35,34342.79041,"HighFreedom","1"
"BHR","Bahrain",86.57626274,14.42700866,38.58009057,4.64,7.63,57572.99798,"HighFreedom","1"
"BGD","Bangladesh",39.52305967,13.19738258,9.282841483,3.44,5.43,7888.163891,"LowFreedom","2"
"BRB","Barbados",12.91566929,93.66425344,30.13656168,6.12,6.2,18469.57659,"HighFreedom","4"
"BEL","Belgium",102.1357693,60.4645834,21.14978303,7.98,7.18,62744.203,"HighFreedom","4"
"BLZ","Belize",44.46848674,45.27758245,14.7495155,3.85,6.98,12569.81794,"LowFreedom","1"
"BEN","Benin",35.55953871,3.82977612,2.800131393,4.3,6.45,3588.325199,"LowFreedom","2"
"BTN","Bhutan",41.8418932,44.18462933,12.97615508,6.83,7.07,14061.31203,"LowFreedom","4"
"BOL","Bolivia",56.57958272,44.94984393,74.65033715,4.14,4.68,9681.70743,"LowFreedom","1"
"BIH","Bosnia and Herzegovina",49.83619165,59.54370717,29.21351876,4.58,6.62,19298.18116,"LowFreedom","4"
"BWA","Botswana",23.71628608,38.14895682,8.309073265,6.08,5.83,18647.37346,"LowFreedom","1"
"BRA","Brazil",39.2098543,16.91283301,113.4541655,4.98,5.36,18554.04618,"LowFreedom","1"
"BGR","Bulgaria",120.7315209,106.6134287,66.64527085,5.59,6.35,32435.0146,"HighFreedom","4"
"BFA","Burkina Faso",44.28167331,2.913389072,4.393453038,4.34,6.54,2466.053314,"LowFreedom","2"
"CPV","Cabo Verde",84.82121994,56.00997612,35.13833407,6.21,6.51,8850.106692,"HighFreedom","1"
"KHM","Cambodia",94.49551886,37.8164779,12.50518367,3.27,5.28,6458.368149,"LowFreedom","1"
"CAN","Canada",95.84238883,19.76144427,205.9685036,7.91,7.93,58321.06118,"HighFreedom","3"
"CHL","Chile",59.24738377,9.968350642,46.8755004,6.82,6.76,29569.47755,"HighFreedom","3"
"CHN","China",157.6690915,76.55598676,8.784714039,4.91,5.56,21499.38228,"LowFreedom","1"
"COL","Colombia",40.74908102,39.16899046,12.77595201,4.83,6.5,18458.72095,"LowFreedom","1"
"COM","Comoros",11.80674631,5.004388464,6.544200299,2.99,5.91,3478.173468,"LowFreedom","2"
"COG","Congo, Rep.",25.49071927,13.48288238,3.9207545,3.36,4.44,6205.105041,"LowFreedom","2"
"CRI","Costa Rica",50.39988323,16.0792977,64.5381277,6.58,7.01,24831.71935,"HighFreedom","3"
"HRV","Croatia",77.17671429,126.6248397,26.29947077,6.21,6.04,39864.08168,"HighFreedom","4"
"CYP","Cyprus",126.465189,30.50340457,20.57414385,6.99,6.83,51591.41406,"HighFreedom","4"
"CZE","Czechia",21.93078838,68.52318737,76.69139177,7.67,6.99,48390.66168,"HighFreedom","4"
"DNK","Denmark",56.80428044,17.53285494,39.12106527,8.88,7.32,70233.64023,"HighFreedom","3"
"DJI","Djibouti",68.65949245,15.20669798,9.174288867,3.7,6.66,6180.679986,"LowFreedom","1"
"DOM","Dominican Republic",30.60773337,38.53549466,10.84766226,5.42,6.28,22986.95808,"HighFreedom","1"
"ECU","Ecuador",37.46220624,50.75393089,8.993795411,4.62,6.36,14186.63885,"LowFreedom","1"
"EGY","Egypt, Arab Rep.",6.649665446,109.1834712,31.31056314,3.48,4.57,16360.39078,"LowFreedom","1"
"SLV","El Salvador",50.45974321,38.38179115,9.204779807,4.21,6.25,11085.61781,"HighFreedom","1"
"EST","Estonia",58.62057749,59.20977519,6.814876965,7.74,7.54,43690.41423,"HighFreedom","4"
"ETH","Ethiopia",28.19558575,11.87045704,9.129696291,4.49,5.71,2655.592767,"LowFreedom","2"
"FJI","Fiji",70.39156042,48.74225427,10.22985583,4.56,6.9,12762.34664,"LowFreedom","1"
"FIN","Finland",35.16326562,36.00532777,5.965505367,8.87,7.69,57068.30565,"HighFreedom","4"
"FRA","France",47.21189003,32.03855747,84.28869373,7.33,6.95,53691.61749,"HighFreedom","3"
"GMB","Gambia, The",44.61604509,8.512526311,5.803995212,5.36,6.74,2863.180499,"HighFreedom","2"
"GEO","Georgia",38.35638483,31.31028769,99.19481972,5.82,7.6,20966.52804,"HighFreedom","1"
"DEU","Germany",31.14015453,72.98629789,7.022498388,8.23,7.36,62931.96841,"HighFreedom","4"
"GHA","Ghana",11.35983293,6.107924355,25.70465767,5.27,6.41,6728.45414,"LowFreedom","2"
"GRC","Greece",89.9787885,66.47347061,16.33754866,6.45,6.67,35906.61277,"HighFreedom","4"
"GTM","Guatemala",45.10091941,35.66457051,22.75770983,4.56,7.06,12147.9306,"HighFreedom","1"
"GIN","Guinea",23.14316758,2.654504975,2.703211488,3.42,5.63,3792.010688,"LowFreedom","2"
"GNB","Guinea-Bissau",24.22070399,3.308300526,7.404291653,2.53,4.88,2564.424072,"LowFreedom","2"
"GUY","Guyana",21.20503197,17.68437222,7.93033716,4.34,6.48,37068.19938,"LowFreedom","1"
"HND","Honduras",68.93192859,25.43302298,15.53002225,4.09,6.49,6352.587102,"HighFreedom","1"
"HKG","Hong Kong SAR, China",548.7616701,18.74840994,48.89560864,7.6,8.53,64036.66717,"HighFreedom","3"
"HUN","Hungary",42.50877748,57.72783579,17.52060529,6.67,6.54,40656.96868,"HighFreedom","4"
"ISL","Iceland",52.17235971,68.31367845,25.33699811,8.54,6.85,65475.41129,"HighFreedom","4"
"IND","India",64.23608664,14.26709129,24.56163942,5.44,5.96,8594.391905,"LowFreedom","1"
"IDN","Indonesia",41.62445619,47.31503438,12.23034966,4.71,5.59,13334.26539,"HighFreedom","1"
"IRQ","Iraq",34.56685318,8.081951791,3.439283128,2.52,5.8,13433.39772,"LowFreedom","2"
"IRL","Ireland",40.62149669,13.14712057,33.20124288,7.91,8.07,124489.3785,"HighFreedom","3"
"ISR","Israel",110.8686067,128.2575795,14.43441233,6.54,7.31,48098.18724,"HighFreedom","4"
"ITA","Italy",70.45581941,33.07415318,90.32531892,6.73,6.47,52333.32743,"HighFreedom","3"
"JAM","Jamaica",58.43755049,7.095168103,41.16949393,5.86,7.77,10072.04853,"HighFreedom","1"
"JPN","Japan",171.3807463,113.0691467,33.75481256,7.78,7.6,44972.34384,"HighFreedom","3"
"JOR","Jordan",121.8932657,12.54106972,29.27987796,4.75,7.32,9266.575383,"HighFreedom","1"
"KAZ","Kazakhstan",26.78190073,12.18521815,87.88535398,5.33,6.28,33506.26149,"LowFreedom","1"
"KEN","Kenya",37.05551184,4.506237776,6.848648033,5.11,6.64,5491.693783,"HighFreedom","2"
"KOR","Korea, Rep.",84.25979809,12.89363377,252.633954,7.17,7.04,49777.9293,"HighFreedom","3"
"KWT","Kuwait",74.19428137,11.38171299,62.54547965,5.26,6.03,51379.88333,"LowFreedom","1"
"KGZ","Kyrgyz Republic",33.20690485,7.288143708,43.62199797,4.41,6.03,6139.777888,"LowFreedom","1"
"LAO","Lao PDR",82.95751268,2.968213687,27.46076405,4.42,5.76,8183.032865,"LowFreedom","1"
"LVA","Latvia",47.45749184,56.83281722,5.189633644,7.1,7.44,37681.04524,"HighFreedom","4"
"LBN","Lebanon",22.83568921,36.21951464,19.79521988,3.53,6.02,11474.75058,"LowFreedom","1"
"LSO","Lesotho",41.32772647,3.650651574,14.06176902,4.46,5.77,2577.545441,"LowFreedom","2"
"LBY","Libya",46.77014874,16.11065854,11.61826337,3.3,4.27,11456.07681,"LowFreedom","2"
"LTU","Lithuania",46.8940425,10.51753768,47.14184874,7.08,6.82,46651.21458,"HighFreedom","3"
"LUX","Luxembourg",89.03301521,52.42101355,88.82449517,8.57,7.58,132573.9944,"HighFreedom","3"
"MDG","Madagascar",21.70501245,2.841048784,3.070518109,3.15,5.5,1602.713684,"LowFreedom","2"
"MYS","Malaysia",92.83788705,50.66626607,8.045347373,5.43,7.51,32079.15152,"HighFreedom","4"
"MLI","Mali",38.41968994,3.988226105,4.32193482,3.46,5.49,2808.522474,"LowFreedom","2"
"MLT","Malta",110.6767761,22.1284535,42.52134203,7.19,7.3,57784.82267,"HighFreedom","3"
"MRT","Mauritania",279.3037857,11.36884105,11.44125405,3.44,5.93,6053.261787,"LowFreedom","1"
"MUS","Mauritius",113.3890676,41.79391477,14.43108268,6.68,6.96,24788.7665,"HighFreedom","4"
"MEX","Mexico",25.80196871,12.38191686,66.46093294,4.68,6.17,21392.11146,"HighFreedom","1"
"MDA","Moldova",34.48300912,29.21894299,57.74455512,5.87,5.58,15358.01536,"LowFreedom","1"
"MNG","Mongolia",51.62009945,41.04890808,60.44516803,5.85,6.49,15310.43495,"LowFreedom","1"
"MNE","Montenegro",58.54156756,81.23444891,45.23952361,5.68,6.66,25430.48742,"HighFreedom","4"
"MAR","Morocco",84.84312597,21.61427395,29.54945705,5.35,6.29,8666.079102,"LowFreedom","1"
"MOZ","Mozambique",48.3689844,3.738280324,8.750468676,4.58,5.77,1476.665603,"LowFreedom","2"
"NAM","Namibia",52.94559326,68.46274841,8.467906634,6.23,5.16,9953.097522,"LowFreedom","1"
"NPL","Nepal",91.33133901,21.79327286,23.72066574,4.98,7.14,4763.387511,"LowFreedom","1"
"NLD","Netherlands",89.82944598,34.15043209,5.17895941,8.93,7.15,71324.03603,"HighFreedom","4"
"NZL","New Zealand",113.9540719,50.87359425,16.90982547,8.73,8.54,49618.52533,"HighFreedom","3"
"NIC","Nicaragua",30.44196916,21.79412534,8.024968634,3.48,5.9,7277.822648,"LowFreedom","2"
"NER","Niger",15.4402431,1.597580438,2.025101964,3.33,5.95,1717.518915,"LowFreedom","2"
"NGA","Nigeria",21.89803071,14.00099359,3.5087404,3.98,6.47,5552.83765,"LowFreedom","2"
"MKD","North Macedonia",60.52743909,25.18659177,66.79062162,4.83,7.2,22822.28881,"LowFreedom","1"
"OMN","Oman",61.32301657,51.89230699,15.96025124,5.37,6.44,39780.21228,"LowFreedom","4"
"PAK","Pakistan",28.73367058,10.54154409,11.48540665,3.93,5.95,5526.279283,"LowFreedom","2"
"PAN","Panama",112.7662204,72.17770941,19.04562175,5.71,6.9,33833.02651,"HighFreedom","4"
"PRY","Paraguay",44.83039897,28.36685777,9.906547541,4.51,6.64,15259.14563,"HighFreedom","1"
"PER","Peru",33.80813112,5.181614188,121.5158012,5.1,6.85,15559.82164,"HighFreedom","1"
"PHL","Philippines",57.45801535,29.08212339,8.931248976,4.55,6.55,9457.103954,"HighFreedom","1"
"POL","Poland",46.02937408,68.3466844,22.6368324,6.46,6.4,43405.02158,"LowFreedom","4"
"PRT","Portugal",93.87388192,159.3366203,29.73240723,7.87,6.65,41070.86131,"HighFreedom","4"
"ROU","Romania",34.53337652,63.38404411,21.51557,6.88,6.35,39380.23614,"HighFreedom","4"
"RWA","Rwanda",23.93715743,3.150822904,4.110284014,5.97,6.5,2892.459649,"LowFreedom","2"
"SAU","Saudi Arabia",53.79528666,8.059130426,67.02606374,6.45,6.7,67178.59023,"HighFreedom","3"
"SEN","Senegal",49.77713797,6.797731271,5.205386001,4.48,6.01,4228.733826,"LowFreedom","2"
"SRB","Serbia",47.94184407,53.80363303,24.3176303,5.42,6.49,24634.48629,"LowFreedom","4"
"SYC","Seychelles",25.76610602,75.36899403,31.40374751,5.96,6.77,27978.17706,"HighFreedom","4"
"SGP","Singapore",244.5847698,51.0858155,6.431087271,8.58,8.2,133571.9624,"HighFreedom","3"
"SVK","Slovak Republic",52.32085186,20.70374777,60.75290219,6.71,6.75,38623.67106,"HighFreedom","3"
"SVN","Slovenia",60.15589856,71.15639741,21.41383747,6.78,6.28,47064.15179,"HighFreedom","4"
"ZAF","South Africa",46.91286335,46.09801514,8.476996226,5.91,6.48,13777.19275,"LowFreedom","4"
"ESP","Spain",85.3565992,33.48579956,89.81295422,7.43,7.14,46649.56354,"HighFreedom","3"
"SUR","Suriname",76.60435805,10.44495509,27.85321356,4.9,5.9,18742.58738,"LowFreedom","1"
"SWE","Sweden",69.09843482,24.59290536,10.58604385,8.58,6.88,63215.4363,"HighFreedom","4"
"CHE","Switzerland",171.2329175,35.05338632,89.49144284,8.32,7.65,82777.29358,"HighFreedom","3"
"TJK","Tajikistan",28.24879123,12.36956016,3.637605368,3.77,6.11,4213.756184,"LowFreedom","2"
"TZA","Tanzania",17.76814881,5.638881177,2.357880703,5.21,6.63,3546.980957,"LowFreedom","2"
"THA","Thailand",85.43177076,99.73388034,8.695374094,5.08,6.68,20762.79526,"HighFreedom","4"
"TLS","Timor-Leste",53.54941273,5.379296433,15.46547724,4.5,6.82,5347.00759,"LowFreedom","2"
"TGO","Togo",59.40093714,6.919241048,4.821386049,4.66,6.01,2662.259171,"LowFreedom","2"
"TTO","Trinidad and Tobago",53.2575768,44.62813472,10.48492322,5.39,6.19,30793.39983,"LowFreedom","4"
"TUN","Tunisia",69.81419435,33.31803927,22.50804035,4.72,5.38,12702.45358,"LowFreedom","1"
"TUR","TÃ¼rkiye",50.02561989,14.44276603,78.72139266,4.74,5.81,32748.3189,"LowFreedom","1"
"UGA","Uganda",18.39453436,2.315005624,3.631902265,4.54,6.43,2724.906096,"LowFreedom","2"
"UKR","Ukraine",33.3886485,15.43845793,80.87887211,4.53,4.27,13787.12109,"LowFreedom","1"
"ARE","United Arab Emirates",120.3621526,53.64939526,7.660736061,6.94,6.62,68867.82593,"HighFreedom","4"
"URY","Uruguay",55.55971491,9.656125336,304.149729,6.29,6.9,30804.70328,"HighFreedom","3"
"VNM","Vietnam",131.3749439,27.74648821,3.026817684,5.34,5.85,12979.7639,"LowFreedom","1"
"ZMB","Zambia",29.76389787,2.66372651,7.991179531,5.14,5.61,3585.123791,"LowFreedom","2"
