"iso_code","country","Y","X1","X2","X3","X4","X5","D","l_Y","l_X1","l_X2","l_X5"
"ALB","Albania",64.54392476,17.44007529,37.18519794,5.58,6.9,17112.93794,"HighFreedom",4.16734599605471,2.85877073555867,3.61591077725525,9.74759006108808
"DZA","Algeria",43.07684052,4.947280935,11.57333072,3.77,4.1,14782.2003,"LowFreedom",3.76298550976582,1.59883811959615,2.44870337531756,9.60117905351686
"AGO","Angola",20.49948443,7.538525217,16.22510077,3.53,5,7397.486427,"LowFreedom",3.020399736072,2.02002656832642,2.78655947335669,8.90889554946362
"ARG","Argentina",23.29050795,12.99702132,75.31658395,5.41,5,27627.96348,"LowFreedom",3.14804589344803,2.56472020197665,4.32170034893675,10.2265837083606
"ARM","Armenia",40.0726243,24.16533967,69.63820494,5.64,6.39,17886.17839,"HighFreedom",3.69069341539093,3.184919361478,4.24331333828977,9.79178353657885
"AUS","Australia",84.34907956,117.6510301,19.3178055,8.69,8.24,59883.64704,"HighFreedom",4.43496389678069,4.76772287076615,2.96102723537636,11.0001587424905
"AUT","Austria",28.2333238,11.45300401,176.3271959,8.49,6.81,65661.45219,"HighFreedom",3.3405029753275,2.43825205454212,5.17234133672434,11.0922673076249
"AZE","Azerbaijan",25.205134,39.18423731,6.539220829,4.41,5.51,21051.24424,"LowFreedom",3.22704770392594,3.66827455648996,1.87781801907482,9.95471494615227
"BHS","Bahamas, The",62.18767787,24.14898063,119.1968916,6.19,7.35,34342.79041,"HighFreedom",4.13015687513583,3.18424216926983,4.78077667711003,10.4441473894495
"BHR","Bahrain",86.57626274,14.42700866,38.58009057,4.64,7.63,57572.99798,"HighFreedom",4.46102567568602,2.66910205122685,3.65273635506425,10.9608089517005
"BGD","Bangladesh",39.52305967,13.19738258,9.282841483,3.44,5.43,7888.163891,"LowFreedom",3.67688429068243,2.58001852053644,2.228167694219,8.97311867332322
"BRB","Barbados",12.91566929,93.66425344,30.13656168,6.12,6.2,18469.57659,"HighFreedom",2.55844124789185,4.53971661634797,3.40573910838966,9.82388014872912
"BEL","Belgium",102.1357693,60.4645834,21.14978303,7.98,7.18,62744.203,"HighFreedom",4.62630299976246,4.10205779527718,3.05162964681083,11.0468214702564
"BLZ","Belize",44.46848674,45.27758245,14.7495155,3.85,6.98,12569.81794,"LowFreedom",3.79478077516016,3.81281204134766,2.69121023478871,9.43905381778807
"BEN","Benin",35.55953871,3.82977612,2.800131393,4.3,6.45,3588.325199,"LowFreedom",3.57120843840183,1.34280634717594,1.02966634215159,8.18544085424437
"BTN","Bhutan",41.8418932,44.18462933,12.97615508,6.83,7.07,14061.31203,"LowFreedom",3.73389806729895,3.78837697588872,2.56311344859634,9.55118247751165
"BOL","Bolivia",56.57958272,44.94984393,74.65033715,4.14,4.68,9681.70743,"LowFreedom",4.03564819080204,3.80554728883151,4.31281504038491,9.17799355211289
"BIH","Bosnia and Herzegovina",49.83619165,59.54370717,29.21351876,4.58,6.62,19298.18116,"LowFreedom",3.90874146004283,4.08671061716966,3.374631573369,9.86776613003756
"BWA","Botswana",23.71628608,38.14895682,8.309073265,6.08,5.83,18647.37346,"LowFreedom",3.16616198851482,3.64149841318885,2.11734808219121,9.83346058191006
"BRA","Brazil",39.2098543,16.91283301,113.4541655,4.98,5.36,18554.04618,"LowFreedom",3.66892810040853,2.82807268347305,4.73139892716706,9.82844316716129
"BGR","Bulgaria",120.7315209,106.6134287,66.64527085,5.59,6.35,32435.0146,"HighFreedom",4.79356924479663,4.66920947659333,4.19938408911855,10.3869938157781
"BFA","Burkina Faso",44.28167331,2.913389072,4.393453038,4.34,6.54,2466.053314,"LowFreedom",3.79057089642183,1.06931703308176,1.48011548692429,7.81037430311751
"CPV","Cabo Verde",84.82121994,56.00997612,35.13833407,6.21,6.51,8850.106692,"HighFreedom",4.44054574663578,4.02552981986921,3.5592926732686,9.08818479352253
"KHM","Cambodia",94.49551886,37.8164779,12.50518367,3.27,5.28,6458.368149,"LowFreedom",4.54855241390446,3.63274493091902,2.52614325194663,8.77313195635181
"CAN","Canada",95.84238883,19.76144427,205.9685036,7.91,7.93,58321.06118,"HighFreedom",4.56270505924433,2.98373278023578,5.3277232619543,10.9737185623332
"CHL","Chile",59.24738377,9.968350642,46.8755004,6.82,6.76,29569.47755,"HighFreedom",4.08172162325975,2.29941513819206,3.8474951594336,10.2944979444456
"CHN","China",157.6690915,76.55598676,8.784714039,4.91,5.56,21499.38228,"LowFreedom",5.06049847919816,4.33802232623052,2.17301317005633,9.97577948254022
"COL","Colombia",40.74908102,39.16899046,12.77595201,4.83,6.5,18458.72095,"LowFreedom",3.70743328777614,3.66788537404971,2.54756465464392,9.82329221800737
"COM","Comoros",11.80674631,5.004388464,6.544200299,2.99,5.91,3478.173468,"LowFreedom",2.46867108928777,1.610315220287,1.87857920686993,8.15426256946116
"COG","Congo, Rep.",25.49071927,13.48288238,3.9207545,3.36,4.44,6205.105041,"LowFreedom",3.23831443572236,2.60142090903605,1.36628410977133,8.73312762594023
"CRI","Costa Rica",50.39988323,16.0792977,64.5381277,6.58,7.01,24831.71935,"HighFreedom",3.91998885820956,2.77753258742389,4.16725617628669,10.11987712097
"HRV","Croatia",77.17671429,126.6248397,26.29947077,6.21,6.04,39864.08168,"HighFreedom",4.34609778316387,4.8412286966253,3.26954881616756,10.5932309889256
"CYP","Cyprus",126.465189,30.50340457,20.57414385,6.99,6.83,51591.41406,"HighFreedom",4.83996708452627,3.41783830262963,3.02403513451875,10.8511105434386
"CZE","Czechia",21.93078838,68.52318737,76.69139177,7.67,6.99,48390.66168,"HighFreedom",3.08789151162402,4.22717218974121,4.33978946961053,10.7870621335934
"DNK","Denmark",56.80428044,17.53285494,39.12106527,8.88,7.32,70233.64023,"HighFreedom",4.03961168274685,2.86407654591244,3.66666107562409,11.1595826807871
"DJI","Djibouti",68.65949245,15.20669798,9.174288867,3.7,6.66,6180.679986,"LowFreedom",4.22915939577968,2.72173598737058,2.21640488325283,8.72918357449596
"DOM","Dominican Republic",30.60773337,38.53549466,10.84766226,5.42,6.28,22986.95808,"HighFreedom",3.42125270153868,3.65157975578958,2.38394959686381,10.0426822940833
"ECU","Ecuador",37.46220624,50.75393089,8.993795411,4.62,6.36,14186.63885,"LowFreedom",3.6233325911706,3.92698907088293,2.19653494081383,9.56005587458422
"EGY","Egypt, Arab Rep.",6.649665446,109.1834712,31.31056314,3.48,4.57,16360.39078,"LowFreedom",1.89456654453005,4.69302968921696,3.44395552112355,9.70261849617953
"SLV","El Salvador",50.45974321,38.38179115,9.204779807,4.21,6.25,11085.61781,"HighFreedom",3.92117585421859,3.64758315832853,2.21972289337774,9.31340385437194
"EST","Estonia",58.62057749,59.20977519,6.814876965,7.74,7.54,43690.41423,"HighFreedom",4.07108578665012,4.08108664971162,1.9191080114272,10.6848840030175
"ETH","Ethiopia",28.19558575,11.87045704,9.129696291,4.49,5.71,2655.592767,"LowFreedom",3.33916543200345,2.47405271167139,2.21153242910287,7.88442317316303
"FJI","Fiji",70.39156042,48.74225427,10.22985583,4.56,6.9,12762.34664,"LowFreedom",4.25407337558004,3.88654629805079,2.3253104870001,9.45425444594627
"FIN","Finland",35.16326562,36.00532777,5.965505367,8.87,7.69,57068.30565,"HighFreedom",3.56000194734359,3.58366692111725,1.78599377400643,10.9520041741116
"FRA","France",47.21189003,32.03855747,84.28869373,7.33,6.95,53691.61749,"HighFreedom",3.85464576828342,3.46694009840258,4.43424773655866,10.8910121694296
"GMB","Gambia, The",44.61604509,8.512526311,5.803995212,5.36,6.74,2863.180499,"HighFreedom",3.79809354971073,2.14153876233723,1.75854651007329,7.95968834851775
"GEO","Georgia",38.35638483,31.31028769,99.19481972,5.82,7.6,20966.52804,"HighFreedom",3.64692100235196,3.4439467237343,4.59708579236277,9.95068254223386
"DEU","Germany",31.14015453,72.98629789,7.022498388,8.23,7.36,62931.96841,"HighFreedom",3.43849812882129,4.29027172339353,1.94911905044835,11.0498095553898
"GHA","Ghana",11.35983293,6.107924355,25.70465767,5.27,6.41,6728.45414,"LowFreedom",2.43008370631866,1.80958700270209,3.24667220777631,8.81410069937476
"GRC","Greece",89.9787885,66.47347061,16.33754866,6.45,6.67,35906.61277,"HighFreedom",4.49957395921925,4.19680292986931,2.79346605736978,10.4886767572351
"GTM","Guatemala",45.10091941,35.66457051,22.75770983,4.56,7.06,12147.9306,"HighFreedom",3.80890263233188,3.57415777331906,3.12490398161186,9.40491411327477
"GIN","Guinea",23.14316758,2.654504975,2.703211488,3.42,5.63,3792.010688,"LowFreedom",3.14169960003772,0.976258187215761,0.994440506186954,8.24065168193634
"GNB","Guinea-Bissau",24.22070399,3.308300526,7.404291653,2.53,4.88,2564.424072,"LowFreedom",3.18720780417651,1.19643462128167,2.00205978521042,7.84948919906015
"GUY","Guyana",21.20503197,17.68437222,7.93033716,4.34,6.48,37068.19938,"LowFreedom",3.0542385105887,2.87268132414782,2.07069555176689,10.5205147214555
"HND","Honduras",68.93192859,25.43302298,15.53002225,4.09,6.49,6352.587102,"HighFreedom",4.23311947547032,3.23604844692662,2.74277506987045,8.7566174265525
"HKG","Hong Kong SAR, China",548.7616701,18.74840994,48.89560864,7.6,8.53,64036.66717,"HighFreedom",6.30766423086029,2.93110894562043,3.88968758958532,11.0672111228145
"HUN","Hungary",42.50877748,57.72783579,17.52060529,6.67,6.54,40656.96868,"HighFreedom",3.74971058354738,4.05573947988927,2.86337763342744,10.6129255315256
"ISL","Iceland",52.17235971,68.31367845,25.33699811,8.54,6.85,65475.41129,"HighFreedom",3.95455284717874,4.22411001665713,3.23226570339249,11.0894299509904
"IND","India",64.23608664,14.26709129,24.56163942,5.44,5.96,8594.391905,"LowFreedom",4.16256514997472,2.65795557679448,3.20118585267982,9.05886516545949
"IDN","Indonesia",41.62445619,47.31503438,12.23034966,4.71,5.59,13334.26539,"HighFreedom",3.72868788371076,3.8568280965794,2.50392053964198,9.49809234623478
"IRQ","Iraq",34.56685318,8.081951791,3.439283128,2.52,5.8,13433.39772,"LowFreedom",3.54289522230981,2.08963340165458,1.23526305664521,9.50549925230729
"IRL","Ireland",40.62149669,13.14712057,33.20124288,7.91,8.07,124489.3785,"HighFreedom",3.70429740160835,2.57620276658593,3.50258731136631,11.7319756779945
"ISR","Israel",110.8686067,128.2575795,14.43441233,6.54,7.31,48098.18724,"HighFreedom",4.70834577673497,4.85404058171978,2.66961510082098,10.7809997680656
"ITA","Italy",70.45581941,33.07415318,90.32531892,6.73,6.47,52333.32743,"HighFreedom",4.25498583833989,3.49875210664983,4.5034178078329,10.8653886828598
"JAM","Jamaica",58.43755049,7.095168103,41.16949393,5.86,7.77,10072.04853,"HighFreedom",4.06795867104853,1.95941400349553,3.7176975435032,9.21751939402076
"JPN","Japan",171.3807463,113.0691467,33.75481256,7.78,7.6,44972.34384,"HighFreedom",5.14388766788198,4.72799954926616,3.5191230015233,10.7138029984866
"JOR","Jordan",121.8932657,12.54106972,29.27987796,4.75,7.32,9266.575383,"HighFreedom",4.80314579049852,2.52900883619174,3.37690052105164,9.1341691602067
"KAZ","Kazakhstan",26.78190073,12.18521815,87.88535398,5.33,6.28,33506.26149,"LowFreedom",3.28772631347252,2.50022359007653,4.4760331694203,10.4194876104969
"KEN","Kenya",37.05551184,4.506237776,6.848648033,5.11,6.64,5491.693783,"HighFreedom",3.61241710828863,1.50546260937061,1.92405126534936,8.61099200841423
"KOR","Korea, Rep.",84.25979809,12.89363377,252.633954,7.17,7.04,49777.9293,"HighFreedom",4.43390486027456,2.55673368335181,5.53194161893535,10.8153269780295
"KWT","Kuwait",74.19428137,11.38171299,62.54547965,5.26,6.03,51379.88333,"LowFreedom",4.30668707671808,2.43200794373227,4.13589396651571,10.8470019999334
"KGZ","Kyrgyz Republic",33.20690485,7.288143708,43.62199797,4.41,6.03,6139.777888,"LowFreedom",3.50275783170778,1.98624887820452,3.77556156371351,8.72254384589404
"LAO","Lao PDR",82.95751268,2.968213687,27.46076405,4.42,5.76,8183.032865,"LowFreedom",4.41832858131172,1.08796031968113,3.31275822406054,9.00981812677252
"LVA","Latvia",47.45749184,56.83281722,5.189633644,7.1,7.44,37681.04524,"HighFreedom",3.85983440173923,4.04011392684121,1.64666310586163,10.5369124682206
"LBN","Lebanon",22.83568921,36.21951464,19.79521988,3.53,6.02,11474.75058,"LowFreedom",3.12832462835797,3.58959805203417,2.98544048835192,9.3479042987448
"LSO","Lesotho",41.32772647,3.650651574,14.06176902,4.46,5.77,2577.545441,"LowFreedom",3.72153361781629,1.29490566508743,2.64345969781359,7.85459284560962
"LBY","Libya",46.77014874,16.11065854,11.61826337,3.3,4.27,11456.07681,"LowFreedom",3.84524515197648,2.77948107406912,2.4525782884475,9.34627559396147
"LTU","Lithuania",46.8940425,10.51753768,47.14184874,7.08,6.82,46651.21458,"HighFreedom",3.84789064179745,2.35304411907655,3.8531611148128,10.7504542419494
"LUX","Luxembourg",89.03301521,52.42101355,88.82449517,8.57,7.58,132573.9944,"HighFreedom",4.48900725836018,3.95930753288575,4.48666245846848,11.7948962168361
"MDG","Madagascar",21.70501245,2.841048784,3.070518109,3.15,5.5,1602.713684,"LowFreedom",3.07754322235195,1.04417327414314,1.12184631250645,7.37945352405505
"MYS","Malaysia",92.83788705,50.66626607,8.045347373,5.43,7.51,32079.15152,"HighFreedom",4.53085482209942,3.92526032563375,2.08509395825673,10.3759616127529
"MLI","Mali",38.41968994,3.988226105,4.32193482,3.46,5.49,2808.522474,"LowFreedom",3.64857008703195,1.38334654683143,1.46370317698995,7.94041381407684
"MLT","Malta",110.6767761,22.1284535,42.52134203,7.19,7.3,57784.82267,"HighFreedom",4.7066140263774,3.09686426910863,3.75000611529928,10.9644814366154
"MRT","Mauritania",279.3037857,11.36884105,11.44125405,3.44,5.93,6053.261787,"LowFreedom",5.63230002710202,2.43087637204827,2.43722559969909,8.70835254408913
"MUS","Mauritius",113.3890676,41.79391477,14.43108268,6.68,6.96,24788.7665,"HighFreedom",4.73082498100259,3.73275074926789,2.66938439977021,10.1181458658243
"MEX","Mexico",25.80196871,12.38191686,66.46093294,4.68,6.17,21392.11146,"HighFreedom",3.25045079560552,2.51623709048881,4.19661430044453,9.97077750968716
"MDA","Moldova",34.48300912,29.21894299,57.74455512,5.87,5.58,15358.01536,"LowFreedom",3.54046671344928,3.3748172314725,4.05602906132056,9.63939279002021
"MNG","Mongolia",51.62009945,41.04890808,60.44516803,5.85,6.49,15310.43495,"LowFreedom",3.94391112086746,3.71476423578826,4.10173664053263,9.63628989778444
"MNE","Montenegro",58.54156756,81.23444891,45.23952361,5.68,6.66,25430.48742,"HighFreedom",4.0697370584932,4.39733940486014,3.81197112090954,10.1437040253579
"MAR","Morocco",84.84312597,21.61427395,29.54945705,5.35,6.29,8666.079102,"LowFreedom",4.44080397449154,3.07335392745597,3.38606536974083,9.06717173011418
"MOZ","Mozambique",48.3689844,3.738280324,8.750468676,4.58,5.77,1476.665603,"LowFreedom",3.87885879012904,1.31862569926594,2.16910726190651,7.29754185405478
"NAM","Namibia",52.94559326,68.46274841,8.467906634,6.23,5.16,9953.097522,"LowFreedom",3.9692648440326,4.22628977851297,2.13628332746786,9.20563909044984
"NPL","Nepal",91.33133901,21.79327286,23.72066574,4.98,7.14,4763.387511,"LowFreedom",4.51449398182463,3.08160133776941,3.16634664034612,8.46871435608895
"NLD","Netherlands",89.82944598,34.15043209,5.17895941,8.93,7.15,71324.03603,"HighFreedom",4.49791282779473,3.53077523864539,1.64460414999069,11.1749886608134
"NZL","New Zealand",113.9540719,50.87359425,16.90982547,8.73,8.54,49618.52533,"HighFreedom",4.73579548914715,3.92934401193137,2.82789484174546,10.8121195375377
"NIC","Nicaragua",30.44196916,21.79412534,8.024968634,3.48,5.9,7277.822648,"LowFreedom",3.41582222078292,3.08164045366232,2.08255776047262,8.89258700964216
"NER","Niger",15.4402431,1.597580438,2.025101964,3.33,5.95,1717.518915,"LowFreedom",2.73697728929133,0.468490258427577,0.705620051883446,7.4486360371363
"NGA","Nigeria",21.89803071,14.00099359,3.5087404,3.98,6.47,5552.83765,"LowFreedom",3.08639671086143,2.63912829781124,1.25525711267311,8.62206436436545
"MKD","North Macedonia",60.52743909,25.18659177,66.79062162,4.83,7.2,22822.28881,"LowFreedom",4.1030968008969,3.22631178029746,4.20156267577613,10.035492916809
"OMN","Oman",61.32301657,51.89230699,15.96025124,5.37,6.44,39780.21228,"LowFreedom",4.11615524669448,3.94917055163207,2.7701013337524,10.5911248887436
"PAK","Pakistan",28.73367058,10.54154409,11.48540665,3.93,5.95,5526.279283,"LowFreedom",3.35806962605563,2.35532403048588,2.44107724256692,8.61727004401807
"PAN","Panama",112.7662204,72.17770941,19.04562175,5.71,6.9,33833.02651,"HighFreedom",4.72531682967649,4.27913126429713,2.94683724576156,10.4291927200848
"PRY","Paraguay",44.83039897,28.36685777,9.906547541,4.51,6.64,15259.14563,"HighFreedom",3.80288645774854,3.34522148378629,2.29319590631103,9.63293431572194
"PER","Peru",33.80813112,5.181614188,121.5158012,5.1,6.85,15559.82164,"HighFreedom",3.52070133923816,1.6451166270332,4.80004430535351,9.65244733494175
"PHL","Philippines",57.45801535,29.08212339,8.931248976,4.55,6.55,9457.103954,"HighFreedom",4.05105451327486,3.37012366891291,2.18955624804243,9.15452147923595
"POL","Poland",46.02937408,68.3466844,22.6368324,6.46,6.4,43405.02158,"LowFreedom",3.82927975964849,4.22459305284924,3.11957833188566,10.6783304180035
"PRT","Portugal",93.87388192,159.3366203,29.73240723,7.87,6.65,41070.86131,"HighFreedom",4.54195219970711,5.07101907310847,3.39223760345968,10.6230541784862
"ROU","Romania",34.53337652,63.38404411,21.51557,6.88,6.35,39380.23614,"HighFreedom",3.54192629173564,4.14921215957965,3.06877685908394,10.58101934862
"RWA","Rwanda",23.93715743,3.150822904,4.110284014,5.97,6.5,2892.459649,"LowFreedom",3.17543195582018,1.14766365808556,1.41349212928365,7.96986250875445
"SAU","Saudi Arabia",53.79528666,8.059130426,67.02606374,6.45,6.7,67178.59023,"HighFreedom",3.9851858547797,2.0868056631052,4.20508155479056,11.1151098779803
"SEN","Senegal",49.77713797,6.797731271,5.205386001,4.48,6.01,4228.733826,"LowFreedom",3.90755580171491,1.91658891989534,1.64969385897142,8.34965789531669
"SRB","Serbia",47.94184407,53.80363303,24.3176303,5.42,6.49,24634.48629,"LowFreedom",3.86998869447419,3.98534099332646,3.19120161402818,10.111902621909
"SYC","Seychelles",25.76610602,75.36899403,31.40374751,5.96,6.77,27978.17706,"HighFreedom",3.2490599080857,4.3223959706786,3.4469272332451,10.2391800945602
"SGP","Singapore",244.5847698,51.0858155,6.431087271,8.58,8.2,133571.9624,"HighFreedom",5.4995619555745,3.93350687550607,1.86114361742296,11.8023956557851
"SVK","Slovak Republic",52.32085186,20.70374777,60.75290219,6.71,6.75,38623.67106,"HighFreedom",3.95739498874423,3.03031473557427,4.10681485375448,10.5616206073945
"SVN","Slovenia",60.15589856,71.15639741,21.41383747,6.78,6.28,47064.15179,"HighFreedom",4.09693950178561,4.26488023489999,3.06403732381281,10.7592668817218
"ZAF","South Africa",46.91286335,46.09801514,8.476996226,5.91,6.48,13777.19275,"LowFreedom",3.8482919097016,3.83076989354423,2.1373561684215,9.53076980465588
"ESP","Spain",85.3565992,33.48579956,89.81295422,7.43,7.14,46649.56354,"HighFreedom",4.44683776552505,3.51112145523133,4.49772922125165,10.750418850176
"SUR","Suriname",76.60435805,10.44495509,27.85321356,4.9,5.9,18742.58738,"LowFreedom",4.3386539687313,2.34611909533437,3.3269483478674,9.83855361349787
"SWE","Sweden",69.09843482,24.59290536,10.58604385,8.58,6.88,63215.4363,"HighFreedom",4.23553207957642,3.20245800134304,2.35953651569058,11.0543037955651
"CHE","Switzerland",171.2329175,35.05338632,89.49144284,8.32,7.65,82777.29358,"HighFreedom",5.14302472034197,3.5568722227938,4.49414300998356,11.3239090706392
"TJK","Tajikistan",28.24879123,12.36956016,3.637605368,3.77,6.11,4213.756184,"LowFreedom",3.34105066835842,2.51523862877951,1.29132559922584,8.34610973412358
"TZA","Tanzania",17.76814881,5.638881177,2.357880703,5.21,6.63,3546.980957,"LowFreedom",2.8774074617259,1.72968567295913,0.857763208384108,8.17385208599688
"THA","Thailand",85.43177076,99.73388034,8.695374094,5.08,6.68,20762.79526,"HighFreedom",4.44771805456196,4.60250544210968,2.16279117091754,9.94091797465126
"TLS","Timor-Leste",53.54941273,5.379296433,15.46547724,4.5,6.82,5347.00759,"LowFreedom",3.98060483007359,1.68255759108664,2.73861026502074,8.58429235443529
"TGO","Togo",59.40093714,6.919241048,4.821386049,4.66,6.01,2662.259171,"LowFreedom",4.08431000301182,1.93430608847031,1.57306144875767,7.88693035372006
"TTO","Trinidad and Tobago",53.2575768,44.62813472,10.48492322,5.39,6.19,30793.39983,"LowFreedom",3.9751400817916,3.79836448345901,2.34993834148492,10.3350556547643
"TUN","Tunisia",69.81419435,33.31803927,22.50804035,4.72,5.38,12702.45358,"LowFreedom",4.24583734654386,3.50609897012901,3.11387259426536,9.44955044906247
"TUR","TÃ¼rkiye",50.02561989,14.44276603,78.72139266,4.74,5.81,32748.3189,"LowFreedom",3.91253527199722,2.67019366844478,4.36591494389848,10.3966069084482
"UGA","Uganda",18.39453436,2.315005624,3.631902265,4.54,6.43,2724.906096,"LowFreedom",2.91205357483597,0.839412116908896,1.28975655096068,7.91018924632009
"UKR","Ukraine",33.3886485,15.43845793,80.87887211,4.53,4.27,13787.12109,"LowFreedom",3.5082159769459,2.73686166460879,4.39295262938748,9.5314901810445
"ARE","United Arab Emirates",120.3621526,53.64939526,7.660736061,6.94,6.62,68867.82593,"HighFreedom",4.79050513628121,3.98247019706537,2.03610807065037,11.1399443803042
"URY","Uruguay",55.55971491,9.656125336,304.149729,6.29,6.9,30804.70328,"HighFreedom",4.01745838666347,2.26759246382698,5.71752010975859,10.3354226611997
"VNM","Vietnam",131.3749439,27.74648821,3.026817684,5.34,5.85,12979.7639,"LowFreedom",4.87805540217514,3.3231092811932,1.10751179829506,9.47114680057031
"ZMB","Zambia",29.76389787,2.66372651,7.991179531,5.14,5.61,3585.123791,"LowFreedom",3.39329617820269,0.979726085996688,2.07833837478994,8.18454828270256
